rank,keyword,suggested_title,cluster,intent,action,demand_score,trend,sources,appearances,best_rank,monthly_searches,monthly_searches_raw,competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
11,pyomo – optimization modeling in python,آموزش pyomo – optimization modeling in python: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,97.4,جدید امروز,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.31,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 5؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
12,robust optimization,آموزش robust optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,94.7,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.715,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: robust optimization | YouTube Autocomplete: robust optimization
13,stochastic optimization,آموزش stochastic optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,94.7,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.714,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: stochastic optimization | YouTube Autocomplete: stochastic optimization
14,unit commitment,آموزش unit commitment: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,94.7,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.609,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
15,pyomo,آموزش pyomo: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,93.2,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.58,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
16,pyomo optimization,آموزش pyomo optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,92.1,جدید امروز,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.316,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
17,optimal power flow problem formulation for loss and cost minimization,آموزش optimal power flow problem formulation for loss and cost minimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,90.2,جدید امروز,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.338,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: optimal power flow | YouTube Autocomplete: optimal power flow
18,unit commitment problem in power system,آموزش unit commitment problem in power system: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,90.2,جدید امروز,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.338,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
19,gurobi optimization,آموزش gurobi optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,88.5,جدید امروز,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.33,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | YouTube Autocomplete: gurobi
20,vehicle routing problem with time windows,آموزش vehicle routing problem with time windows: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,86.6,جدید امروز,Google Search، YouTube,2,7,0.0,,,,0.0,0.0,0.0,0.0,0.137,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 7؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem | YouTube Autocomplete: vehicle routing problem
21,or tools scheduling,آموزش or tools scheduling: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,81.3,جدید امروز,Google Search، YouTube,2,5,0.0,,,,0.0,0.0,0.0,0.0,0.29,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 10؛ پیشنهاد YouTube؛ بهترین جایگاه 5؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools | YouTube Autocomplete: or tools
22,unit commitment and economic dispatch,آموزش unit commitment and economic dispatch: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,76.6,جدید امروز,Google Search، YouTube,2,4,0.0,,,,0.0,0.0,0.0,0.0,0.58,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 4؛ پیشنهاد YouTube؛ بهترین جایگاه 10؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
23,بهینه سازی خطی,آموزش بهینه سازی خطی: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای جدید,73.3,جدید امروز,YouTube,11,1,0.0,,,,0.0,0.0,0.0,0.0,0.319,دوره مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 11 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,YouTube Autocomplete: بهینه سازی | YouTube Autocomplete: بهینه سازی در پایتون | YouTube Autocomplete: بهینه سازی سیستم قدرت | YouTube Autocomplete: بهینه سازی سیستم قدرت در پایتون | YouTube Autocomplete: بهینه سازی سیستم قدرت ع | YouTube Autocomplete: بهینه سازی سیستم قدرت مثال | YouTube Autocomplete: بهینه سازی فازی مثال | YouTube Autocomplete: بهینه سازی فازی نرم افزار | YouTube Autocomplete: بهینه سازی مقاوم خطا | YouTube Autocomplete: بهینه سازی مقاوم در پایتون | YouTube Autocomplete: بهینه سازی مقاوم ف
24,or tools vrp,آموزش or tools vrp: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,73.1,جدید امروز,Google Search، YouTube,2,7,0.0,,,,0.0,0.0,0.0,0.0,0.58,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 7؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools | YouTube Autocomplete: or tools
25,بهینه سازی miui را چگونه فعال کنیم,بهینه سازی miui را چگونه فعال کنیم؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,70.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.271,دوره مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی چگونه
26,بهینه سازی نرم افزار چیست,بهینه سازی نرم افزار چیست؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,70.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.318,گزارش روزانه SEO - 2026-07-29,local://seo_output/seo_report_2026-07-29.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی نرم افزار
27,gurobi error 202,رفع gurobi error 202: علت‌ها و راه‌حل مرحله‌به‌مرحله,مدل‌سازی و بهینه‌سازی,حل خطا,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.112,گزارش روزانه SEO - 2026-07-29,local://seo_output/seo_report_2026-07-29.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi error
28,robust optimization aharon ben-tal laurent el ghaoui arkadi nemirovski,مقایسه robust optimization aharon ben-tal laurent el ghaoui arkadi nemirovski: تفاوت‌ها و انتخاب روش مناسب,مدل‌سازی عدم قطعیت,مقایسه,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.344,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: robust optimization
29,چگونه بهینه سازی باتری را غیر فعال کنیم شیائومی,چگونه بهینه سازی باتری را غیر فعال کنیم شیائومی؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.271,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی چگونه
30,چگونه بهینه سازی miui را غیر فعال کنیم,چگونه بهینه سازی miui را غیر فعال کنیم؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,66.5,جدید امروز,Google Search,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.296,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی چگونه
31,gurobi error codes,آموزش gurobi error codes: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,65.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.154,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi error
32,ketua igdt deli serdang,آموزش ketua igdt deli serdang: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای جدید,65.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.176,دوره مدل‌سازی عدم قطعیت | Stochastic، Robust، Fuzzy و IGDT,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: igdt k
33,اموزش مدل سازی ریاضی دوازدهم انسانی,آموزش اموزش مدل سازی ریاضی دوازدهم انسانی: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,65.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.432,مدل‌سازی ریاضی: هنری ضروری برای هر برنامه‌نویس و محقق,local://_posts/2026-06-19-mathematical-modeling-art.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: آموزش مدل سازی ریاضی
34,رگرسیون لجستیک در پایتون,آموزش رگرسیون لجستیک در پایتون: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,65.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.31,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: لجستیک در پایتون
35,مسئله مسیریابی وسایل نقلیه,آموزش مسئله مسیریابی وسایل نقلیه: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,65.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.437,وقتی فاصله‌ها به زمان وابسته‌اند — مسئله‌ای سخت‌تر از آن‌چه فکر می‌کنی,local://_posts/2026-06-19-time-dependent-vrp.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: مسئله مسیریابی
