rank,keyword,suggested_title,cluster,intent,action,demand_score,trend,sources,appearances,best_rank,monthly_searches,monthly_searches_raw,competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
11,بهینه سازی,آموزش بهینه سازی: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,90.9,تکرار مشاهده,Google Search، YouTube,12,1,0.0,,,,0.0,0.0,0.0,0.0,0.616,دوره مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 12 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی | YouTube Autocomplete: بهینه سازی | YouTube Autocomplete: بهینه سازی در پایتون | YouTube Autocomplete: بهینه سازی سیستم قدرت غ | YouTube Autocomplete: بهینه سازی سیستم قدرت مقاله | YouTube Autocomplete: بهینه سازی سیستم قدرت کد | YouTube Autocomplete: بهینه سازی فازی | YouTube Autocomplete: بهینه سازی فازی ت | YouTube Autocomplete: بهینه سازی فازی پ | YouTube Autocomplete: بهینه سازی فازی پروژه | YouTube Autocomplete: بهینه سازی مقاوم | YouTube Autocomplete: بهینه سازی چیست
12,gurobi software,آموزش gurobi software: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,81.1,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.087,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | YouTube Autocomplete: gurobi
13,or tools google,آموزش or tools google: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,81.1,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.29,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: or tools | YouTube Autocomplete: or tools
14,مدل سازی ریاضی چیست,مدل سازی ریاضی چیست؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,79.6,رو‌به‌رشد,Google Search,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.508,مدل‌سازی ریاضی: هنری ضروری برای هر برنامه‌نویس و محقق,local://_posts/2026-06-19-mathematical-modeling-art.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ رو‌به‌رشد؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: مدل سازی ریاضی | Google Search Autocomplete: مدل سازی ریاضی چیست
15,unit commitment problem,آموزش unit commitment problem: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,79.2,تکرار مشاهده,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.472,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,True,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 4؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ در متن سایت اشاره شده، اما صفحه متمرکز مشابه پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
16,pyomo – optimization modeling in python,آموزش pyomo – optimization modeling in python: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,77.4,تکرار مشاهده,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.31,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ پیشنهاد YouTube؛ بهترین جایگاه 5؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ در متن سایت اشاره شده، اما صفحه متمرکز مشابه پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
17,مدل سازی تحقیق در عملیات,آموزش مدل سازی تحقیق در عملیات: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,74.9,رو‌به‌رشد,YouTube,6,1,0.0,,,,0.0,0.0,0.0,0.0,0.341,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 6 query اکتشافی ظاهر شده است؛ رو‌به‌رشد؛ صفحه متمرکز مشابه در سایت پیدا نشد,YouTube Autocomplete: مدل سازی ریاضی نرم افزار | YouTube Autocomplete: مدل سازی ریاضی چیست | YouTube Autocomplete: مدل سازی ریاضی کد | YouTube Autocomplete: مدل سازی عدم قطعیت | YouTube Autocomplete: مدل سازی عدم قطعیت مثال | YouTube Autocomplete: مدل سازی عدم قطعیت پایان نامه
18,robust optimization,آموزش robust optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,74.7,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.715,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: robust optimization | YouTube Autocomplete: robust optimization
19,stochastic optimization,آموزش stochastic optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی عدم قطعیت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,74.7,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.714,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: stochastic optimization | YouTube Autocomplete: stochastic optimization
20,unit commitment,آموزش unit commitment: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,74.7,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.609,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
21,pyomo,آموزش pyomo: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,73.2,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.58,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
22,pyomo optimization,آموزش pyomo optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,72.1,تکرار مشاهده,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.316,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | YouTube Autocomplete: pyomo
23,optimal power flow using graph neural networks,آموزش optimal power flow using graph neural networks: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,71.2,رو‌به‌رشد,Google Search,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.384,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ رو‌به‌رشد؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: optimal power flow | Google Search Autocomplete: optimal power flow g
24,optimal power flow problem formulation for loss and cost minimization,آموزش optimal power flow problem formulation for loss and cost minimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,70.2,تکرار مشاهده,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.338,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,True,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ در متن سایت اشاره شده، اما صفحه متمرکز مشابه پیدا نشد,Google Search Autocomplete: optimal power flow | YouTube Autocomplete: optimal power flow
25,unit commitment problem in power system,آموزش unit commitment problem in power system: مدل‌سازی و پیاده‌سازی در Python/Pyomo,بهینه‌سازی سیستم‌های قدرت,آموزش و کدنویسی,محتوای جدید,70.2,تکرار مشاهده,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.338,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,True,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ در متن سایت اشاره شده، اما صفحه متمرکز مشابه پیدا نشد,Google Search Autocomplete: unit commitment | YouTube Autocomplete: unit commitment
26,how to reach igdtuw from kashmere gate metro,how to reach igdtuw from kashmere gate metro؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی عدم قطعیت,سؤال آموزشی,محتوای جدید,70.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.322,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: how to igdt
27,pyomo vs pulp,مقایسه pyomo vs pulp: تفاوت‌ها و انتخاب روش مناسب,مدل‌سازی و بهینه‌سازی,مقایسه,محتوای جدید,70.1,جدید امروز,Google Search,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.217,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo vs
28,pyomo examples,آموزش pyomo examples: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,70.0,رو‌به‌رشد,Google Search,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.29,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ رو‌به‌رشد؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo | Google Search Autocomplete: pyomo example
29,gurobi optimization,آموزش gurobi optimization: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,68.5,تکرار مشاهده,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.33,دوره فشرده مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | YouTube Autocomplete: gurobi
30,how to get igdtuw,how to get igdtuw؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی عدم قطعیت,سؤال آموزشی,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.432,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: how to igdt
31,pyomo vs gurobi,مقایسه pyomo vs gurobi: تفاوت‌ها و انتخاب روش مناسب,مدل‌سازی و بهینه‌سازی,مقایسه,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.214,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo vs
32,بهینه سازی چیست مقاله,بهینه سازی چیست مقاله؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی و بهینه‌سازی,سؤال آموزشی,محتوای جدید,68.3,جدید امروز,Google Search,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.357,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: بهینه سازی چیست
33,vehicle routing problem with time windows,آموزش vehicle routing problem with time windows: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,66.6,تکرار مشاهده,Google Search، YouTube,2,7,0.0,,,,0.0,0.0,0.0,0.0,0.137,Optimization Expert Persian Course Website,local://README.md,True,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 7؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ در متن سایت اشاره شده، اما صفحه متمرکز مشابه پیدا نشد,Google Search Autocomplete: vehicle routing problem | YouTube Autocomplete: vehicle routing problem
34,how to reach igdtuw by metro,how to reach igdtuw by metro؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی عدم قطعیت,سؤال آموزشی,محتوای جدید,66.5,جدید امروز,Google Search,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.35,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: how to igdt
35,pyomo vs ortools,مقایسه pyomo vs ortools: تفاوت‌ها و انتخاب روش مناسب,مدل‌سازی و بهینه‌سازی,مقایسه,محتوای جدید,66.5,جدید امروز,Google Search,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.213,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: pyomo vs
