rank,keyword,suggested_title,course,course_url,intent,content_type,action,priority_score,sources,impressions,clicks,ctr,position,closest_title,closest_url,similarity,last_suggested,history_penalty,reason
11,آموزش DC OPF با Pyomo با مثال و کد,آموزش DC OPF با Pyomo با مثال و کد,بهینه‌سازی مقدماتی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.3,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
12,آموزش IGDT با مثال با Pyomo,آموزش IGDT با مثال با Pyomo,مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.288,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
13,آموزش Pyomo فارسی,آموزش Pyomo فارسی,مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.293,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
14,آموزش Pyomo فارسی در پایتون,آموزش Pyomo فارسی در پایتون,مدل‌سازی مسائل بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.401,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
15,آموزش robust optimization,آموزش robust optimization,مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,دوره مدل‌سازی عدم قطعیت | Stochastic، Robust، Fuzzy و IGDT,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,0.225,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
16,آموزش VRPTW در پایتون,آموزش VRPTW در پایتون,مسیریابی وسایل نقلیه در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,0.396,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
17,آموزش بهینه سازی فازی در پایتون,آموزش بهینه سازی فازی در پایتون,مدل‌سازی عدم قطعیت,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,بهینه‌سازی سیستم قدرت در پایتون با Pyomo | دوره پیشرفته,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,0.472,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
18,آموزش بهینه سازی چند هدفه سیستم قدرت,آموزش بهینه سازی چند هدفه سیستم قدرت,بهینه‌سازی پیشرفته سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت | ۸ ساعت پروژه‌محور,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,0.48,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
19,آموزش توسعه شبکه انتقال با Pyomo,آموزش توسعه شبکه انتقال با Pyomo,بهینه‌سازی پیشرفته سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,https://optimizationexpert.github.io/posts/2026/07/18/EV-solar/,0.266,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
20,آموزش جایابی بهینه باتری در شبکه قدرت,آموزش جایابی بهینه باتری در شبکه قدرت,بهینه‌سازی پیشرفته سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,آموزشی,آموزش گام‌به‌گام,محتوای جدید,59.0,Seed/Content Gap,0.0,0.0,0.0,0.0,پروژه آماده تحویل قدرت : جایابی بهینه ذخیره‌ساز انرژی برای کاهش هدر رفت تجدیدپذیرها,https://optimizationexpert.github.io/posts/2026/06/20/ESSAllocation/,0.405,,0.0,با سرفصل دوره مرتبط است و شکاف محتوایی احتمالی دارد؛ شباهت کمی با صفحات فعلی سایت دارد
