rank,keyword,suggested_title,suggested_slug,cluster,intent,funnel,coverage_action,opportunity_score,demand_score,gap_score,business_fit_score,confidence,trend,sources,monthly_searches,monthly_searches_raw,keyword_planner_competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,gsc_page,stack_views,stack_questions,serp_competition_score,serp_exact_titles,serp_strong_domains,serp_user_domain_rank,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
11,بانک خازن,آموزش بانک خازن با Python/Pyomo؛ از مدل تا کد,بانک-خازن,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,16.0,86.7,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1333,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: جایابی بهینه خازن در شبکه توزیع
12,تابع جز صحیح,آموزش تابع جز صحیح با Python/Pyomo؛ از مدل تا کد,تابع-جز-صحیح,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,16.0,86.5,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1348,دوره مدل‌سازی مسائل بهینه‌سازی | از مسئله واقعی تا مدل ریاضی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: تابع هدف و قیود
13,سیو سود در متاتریدر,آموزش سیو سود در متاتریدر با Python/Pyomo؛ از مدل تا کد,سیو-سود-در-متاتریدر,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,16.0,86.7,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1333,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: استخراج Dual و Shadow Price در Pyomo
14,علت نچرخیدن موتور دیش گردان,آموزش علت نچرخیدن موتور دیش گردان با Python/Pyomo؛ از مدل تا کد,علت-نچرخیدن-موتور-دیش-گردان,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,15.5,87.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1256,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: تعیین ظرفیت بهینه ذخیره ساز انرژی
15,قرارداد برق در آلمان,آموزش قرارداد برق در آلمان با Python/Pyomo؛ از مدل تا کد,قرارداد-برق-در-آلمان,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,15.5,87.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1263,دوره مدل‌سازی عدم قطعیت | Stochastic، Robust، Fuzzy و IGDT,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: قیمت گذاری مکانی برق در شبکه
16,جلوگیری از پارازیت ماهواره,آموزش جلوگیری از پارازیت ماهواره با Python/Pyomo؛ از مدل تا کد,جلوگیری-از-پارازیت-ماهواره,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,15.0,88.0,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.12,دوره مدل‌سازی مسائل بهینه‌سازی | از مسئله واقعی تا مدل ریاضی,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: پخش بار اقتصادی دینامیکی با Pyomo
17,پایتون صفر تا صد,آموزش پایتون صفر تا صد با Python/Pyomo؛ از مدل تا کد,python-صفر-تا-صد,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,15.0,88.0,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.12,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: پخش بار اقتصادی با پایتون
18,mixed-integer,آموزش mixed-integer با Python/Pyomo؛ از مدل تا کد,mixed-integer,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.4,12.8,91.3,100.0,کم,تکرار مشاهده,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0873,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: mixed integer programming python
19,آموزش opencv در پایتون,آموزش opencv در پایتون,آموزش-opencv-در-python,VRP، OR-Tools و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.3,17.5,84.0,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.16,گزارش تقاضای جست‌وجو - 2026-07-30,local://seo_demand_output/demand_report_latest.html,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش OR-Tools پایتون | YouTube: آموزش VRPTW در پایتون
20,آموزش پلکسیس,آموزش پلکسیس,آموزش-پلکسیس,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.3,16.0,86.3,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1371,گزارش تقاضای جست‌وجو - 2026-07-30,local://seo_demand_output/demand_report_latest.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش Pyomo
21,ساخت جاکفشی با ام دی اف,آموزش ساخت جاکفشی با ام دی اف با OR-Tools؛ مدل، کد و ترسیم مسیر,ساخت-جاکفشی-با-ام-دی-اف,VRP، OR-Tools و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.3,16.0,86.2,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1385,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: ساخت ماتریس فاصله برای OR-Tools
22,نقشه خوانی تابلو برق صنعتی,آموزش نقشه خوانی تابلو برق صنعتی با Python/Pyomo؛ از مدل تا کد,نقشه-خوانی-تابلو-برق-صنعتی,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.3,16.0,86.2,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.138,چرا قبل از کدنویسی باید مدل‌سازی ریاضی را یاد بگیریم؟,local://_posts/2026-06-18-modeling-before-coding.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: کنترل Volt VAR با اینورتر خورشیدی
23,آموزش کاربردی اکسل,آموزش کاربردی اکسل,آموزش-کاربردی-اکسل,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.3,15.5,87.0,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1304,Google Colab: مزایا و معایب,local://_posts/2026-06-17-googlecolab.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش Pyomo از صفر
24,رهنمای معاملات اطمینان غرب کابل,آموزش رهنمای معاملات اطمینان غرب کابل با Python/Pyomo؛ از مدل تا کد,رهنمای-معاملات-اطمینان-غرب-کابل,بهینه‌سازی سیستم قدرت,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.5,86.8,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1322,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: قیود حداقل زمان روشن و خاموش واحدها
25,روش نیوتن رافسون در محاسبات عددی,آموزش روش نیوتن رافسون در محاسبات عددی با Python/Pyomo؛ از مدل تا کد,روش-نیوتن-رافسون-در-محاسبات-عددی,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.5,86.9,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1309,گزارش تقاضای جست‌وجو - 2026-07-30,local://seo_demand_output/demand_report_latest.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: روش اپسیلون قید در Pyomo
26,استراتژی خروج از معامله,آموزش استراتژی خروج از معامله با Python/Pyomo؛ از مدل تا کد,استراتژی-خروج-از-معامله,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.0,87.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1256,گزارش تقاضای جست‌وجو — 2026-07-29,local://seo_demand_output/demand_report_2026-07-29.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: استخراج Dual و Shadow Price در Pyomo
27,الگوریتم دیکسترا,آموزش الگوریتم دیکسترا با Python/Pyomo؛ از مدل تا کد,الگوریتم-دیکسترا,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.0,87.6,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1235,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: pyomo cbc solver
28,انتخاب بروکر,آموزش انتخاب بروکر با Python/Pyomo؛ از مدل تا کد,انتخاب-بروکر,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.0,87.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1263,وقتی فاصله‌ها به زمان وابسته‌اند — مسئله‌ای سخت‌تر از آن‌چه فکر می‌کنی,local://_posts/2026-06-19-time-dependent-vrp.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: انتخاب Solver مناسب برای Pyomo
29,تعمیر موتور دیش گردان پرمیوم,آموزش تعمیر موتور دیش گردان پرمیوم با OR-Tools؛ مدل، کد و ترسیم مسیر,تعمیر-موتور-دیش-گردان-پرمیوم,VRP، OR-Tools و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,15.0,87.5,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.125,گزارش تقاضای جست‌وجو — 2026-07-29,local://seo_demand_output/demand_report_2026-07-29.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: مسیریابی خودروهای برقی در پایتون
30,پروژه ماشین لرنینگ,پروژه ماشین لرنینگ: مدل، کد کامل و تحلیل نتایج,پروژه-ماشین-لرنینگ,بهینه‌سازی سیستم قدرت,پروژه,بررسی راه‌حل,محتوای جدید,55.2,15.0,87.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1263,گزارش تقاضای جست‌وجو — 2026-07-29,local://seo_demand_output/demand_report_2026-07-29.md,False,https://optimizationexpert.github.io/posts/2026/06/20/Advanced-Power-System-Course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: مدل سازی باتری در Pyomo
31,مکان هندسی اعداد مختلط,آموزش مکان هندسی اعداد مختلط با Python/Pyomo؛ از مدل تا کد,مکان-هندسی-اعداد-مختلط,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.2,14.5,88.4,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1161,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: مدل سازی ریاضی در پایتون
32,اسپایک کانال تریدینگ رنج,آموزش اسپایک کانال تریدینگ رنج با Python/Pyomo؛ از مدل تا کد,اسپایک-کانال-تریدینگ-رنج,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,15.0,87.1,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1286,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت | ۸ ساعت پروژه‌محور,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: تشخیص مدل Infeasible در Pyomo
33,دستگاه خلال کن سیب زمینی,آموزش دستگاه خلال کن سیب زمینی با مثال عملی,دستگاه-خلال-کن-سیب-زمینی,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,15.0,87.3,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1269,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: زنجیره تامین سبز و کاهش انتشار کربن
34,پسوریازیس ناخن,آموزش پسوریازیس ناخن با Python/Pyomo؛ از مدل تا کد,پسوریازیس-ناخن,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,15.0,87.1,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1286,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: Pyomo infeasible model
35,چگونه انتخاب رشته کنیم,آموزش چگونه انتخاب رشته کنیم با مثال عملی,چگونه-انتخاب-رشته-کنیم,زنجیره تأمین و لجستیک,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,15.0,87.2,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1277,پروژه پایتون: هماهنگی خودرو الکتریکی، خورشیدی و پاسخگویی بار | Pyomo,local://_posts/2026-07-18-EV-solar.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: انتخاب تامین کننده با مدل سازی ریاضی
36,فیثاغورس,آموزش فیثاغورس با Python/Pyomo؛ از مدل تا کد,فیثاغورس,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,14.5,88.0,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.12,چرا قبل از کدنویسی باید مدل‌سازی ریاضی را یاد بگیریم؟,local://_posts/2026-06-18-modeling-before-coding.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: روش اپسیلون قید در Pyomo
37,آموزش pyqt,آموزش pyqt,آموزش-pyqt,Pyomo و Solverها,کدنویسی,بررسی راه‌حل,محتوای جدید,55.1,14.0,88.6,100.0,کم,تکرار مشاهده,YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1143,اجرای روزانه بات SEO با GitHub Actions,local://README_FA.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در YouTube؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,YouTube: آموزش Pyomo
