rank,keyword,opportunity_score,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,coverage_action,reason
11,pyomo glpk solver,0.0,17.7,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
12,pyomo ipopt example,0.0,17.7,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
13,pyomo glpk solver options,0.0,17.1,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
14,pip install pyomo glpk,0.0,16.5,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
15,what is linear and mixed integer programming,0.0,16.1,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
16,برنامه برنامه ریزی روزانه,0.0,15.0,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
17,mixed integer nonlinear programming,0.0,14.8,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
18,python mixed integer programming solver,0.0,14.6,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
19,mixed integer linear programming pdf,0.0,13.7,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
20,what is mixed integer programming,0.0,13.7,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
21,linear programming python github,0.0,13.3,Google Search,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-31.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-31»
22,mixed integer linear programming solver,0.0,13.2,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
23,mixed integer linear program,0.0,12.3,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
24,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']",0.0,11.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
25,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']",0.0,11.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
26,mixed integer convex programming,0.0,11.0,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-31/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-31»
27,mixed integer linear optimization,0.0,10.5,Bing,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-31,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-31.html,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-31»
